word,sentence
breath,I held my _ to dive deeper into the water.
awake,To be _ is to no longer be asleep.
sign,A _ can point you in the right direction.
glue,Use _ to stick things together.
ounce,"An _ is a unit of weight, often used for measuring food."
glory,"_ is often associated with great honor, praise, or achievement."
earth,_ is the third planet from the sun.
wildlife,_ refers to undomesticated animals living in their natural habitats.
bargain,A _ is a good deal.
human,_ beings are often characterized by their capacity for complex thought and emotion.
conflict,A _ is a serious disagreement or argument.
actual,The _ cost was higher than the estimate.
formal,A _ occasion requires elegant attire.
scrubbed,She _ the dirty countertop until it shone.
tiring,The long hike was _.
duties,His _ include taking out the trash and doing the dishes.
lately,_ means "recently."
wobble,The table will _ if one leg is shorter than the others.
feast,"A _ is a large, elaborate meal."
groan,He let out a low _ of discomfort.
flute,The _ is a wind instrument played by blowing across a hole.
sprawi,The gift will _ her joy.
aware,To be _ means to notice or realize something.
peer,A _ is someone who is similar to you in age or status.
uproar,"The unexpected decision caused a great _, a public expression of outrage or disturbance."
journey,A _ is a long trip.
exact,The _ time was 3:00 PM.
orphan,An _ is a child who has lost both parents.
cruel,His _ actions caused unnecessary suffering.
whistle,He used a _ to signal the start of the game.
listening,_ means paying attention to sounds.
borrowed,I _ a book from the library and promised to return it in two weeks.
earlier,"The meeting was scheduled for 10 am, but we started _ at 9:30 am."
settlement,The _ is a place where people establish a community.
blister,I got a _ on my heel from the new shoes.
stray,A _ dog wandered into our yard.
reply,To _ is to answer.
youth,_ is the period of life when someone is young.
launch,To _ means to start or set something in motion.
cartoon,"A _ is a simple drawing, often exaggerated, that is used for entertainment or to make a point."
twirl,She loved to _ in her new dress.
home run,A _ is a hit that allows the batter to circle all the bases and score.
pattern,A _ is a repeated design or sequence.
award,An _ is something given to recognize achievement.
instant,The coffee provided _ relief from the cold.
influence,A teacher can _ students positively.
label,A _ is a tag that gives information about something.
stunned,She was _ by the unexpected news.
freezing,The water is so cold it's _.
loveliest,_ means most beautiful or delightful.
watchful,The hawk was _ as it scanned the field for prey.
crush,I have a _ on my classmate.
greet,To _ someone is to welcome them with friendly words or actions.
thrown,She _ the ball to her dog.
accuse,To _ someone is to formally charge them with wrongdoing.
loyal,A _ friend stands by you no matter what.
adore,To _ someone is to love and admire them greatly.
burnt,The toast was _ because I forgot to take it out of the toaster.
headache,A _ is a pain in your head.
arrive,To _ means to reach a destination.
behave,To _ is to act in a particular way.
complex,_ means having many parts and being difficult to understand.
diet,My _ consists mainly of fruits and vegetables.
puzzle,A _ is a game or problem that tests your ingenuity.
knitting,_ is a way to create fabric by interlocking loops of yarn with needles.
delivered,The mail carrier _ the package to my door.
denied,He _ the accusation.
countless,The stars in the sky are so many they seem _.
direct,To _ means to guide or point someone or something.
praise,To _ someone is to express approval or admiration.
strike,"If you _ the match, it will light the candle."
bruise,A _ is a mark on your skin caused by an injury.
avoid,To _ something means to stay away from it.
aboard,All passengers are now _ the train.
smear,The child accidentally _ chocolate on the wall.
top-secret,"The plans for the new weapon were classified as _, meaning they were only for the eyes of a select few with the highest security clearance."
object,I _ to that suggestion.
credit,"_ is the ability to obtain goods or services before payment, based on the trust that payment will be made in the future."
simply,_ means in a straightforward or uncomplicated way.
museum,A _ is a building where interesting objects are displayed.
legal,_ means something is allowed by law.
carpeting,"The _ covered the floor, making it soft and warm."
whispered,"She _, speaking so softly I could barely hear her."
ferries,_ are boats that regularly transport people and vehicles across water.
steadily,"The rain fell _, meaning it was consistent and gradual."
promise,I _ to be there on time means I will definitely be there on time.
disease,"_ is an illness that affects a person, animal, or plant."
mighty,The _ warrior stood tall and strong.
stew,_ is a dish of meat and vegetables cooked slowly in liquid.
basketball,_ is a team sport played with a round ball.
dairy,"_ products include milk, cheese, and yogurt."
further,"To clarify, _ information can be found on the website."
teammate,A _ is a person who plays on the same team as you.
suppose,"_ you finish your homework, can you play outside?"
basic,_ means fundamental or essential.
burglar,A _ is someone who breaks into a building to steal things.
casual,_ clothes are comfortable and suitable for everyday wear.
angle,A right _ is 90 degrees.
wandered,"He _ through the park, enjoying the scenery without a destination."
losing,_ your keys can be frustrating.
sunnier,"The weather is _ today than it was yesterday, with brighter skies."
closeness,_ implies a feeling of affection and intimacy.
grasp,To _ something means to understand it.
repeat,To _ something means to say or do it again.
stroll,We decided to take a leisurely _ through the park.
choose,To _ is to pick what you want.
moist,The cake was delightfully _.
ordeal,The difficult hike became a true _ for the unprepared tourists.
