word,sentence
blade,The sharp _ of the knife sliced through the tomato.
west,The sun sets in the _.
skill,Her _ in painting allowed her to create beautiful artwork.
block,A _ can be a solid piece of wood or stone.
bunch,A _ is a group of things.
bloom,The rose will _ in the spring.
aloud,She read the poem _ so everyone could hear it.
spark,A _ can ignite a fire.
learn,"To _ is to gain knowledge or skill through study, experience, or being taught."
rising,The sun is _ in the east.
wiped,She _ the counter clean with a cloth.
turkey,_ is a large bird often eaten for Thanksgiving.
tiniest,The _ speck of dust was barely visible.
risky,"Skydiving is a _ activity, meaning it has a high chance of danger or failure."
glance,A _ is a quick look.
gray,_ is a color between black and white.
steep,The hill was so _ that it was hard to climb.
crime,A _ is an action that breaks the law.
shown,The results were _ in the graph.
fruit,Apples and bananas are types of _.
cookbook,A _ provides recipes and instructions for cooking.
bald,"Having no hair on his head, the man was _."
prepare,To _ means to get ready for something.
dirty,The opposite of clean is _.
traced,She _ the outline of the picture with her finger.
covered,The ground was _ with snow.
lonely,To be _ is to feel sad and isolated from others.
hobbies,_ are activities people do for enjoyment in their free time.
track,The train follows the _ laid in the ground.
misjudge,To _ someone is to form an incorrect opinion about them.
past,The _ is behind us.
member,A _ is someone who belongs to a group.
grind,I need to _ the coffee beans for a fresh brew.
oatmeal,_ is a breakfast food made from oats.
argue,To _ is to present reasons for or against something.
tool,A hammer is a useful _ for driving nails.
hawk,The bird of prey known as a _ is skilled at hunting.
cheer,A _ is a shout of encouragement or happiness.
worn,The old teddy bear was _ from years of cuddling.
stripped,He _ the bed to wash the sheets.
mapped,The explorers _ the coastline to create a detailed chart.
gallery,A _ is a place that displays art.
copied,She _ her friend's homework.
topic,The _ of our discussion is climate change.
damage,To _ is to cause harm or injury to something.
quake,"The earth began to _ violently, shaking buildings and rattling windows."
gleam,"The polished silver spoon had a noticeable _, catching the light."
tonight,_ refers to this evening.
wrote,She _ a letter to her friend.
crumb,"A _ is a tiny piece of bread, cake, or biscuit."
shampoo,_ is a liquid soap used for washing hair.
south,_ is the direction opposite of north.
tear,"A _ can be a drop of liquid from your eye, or a rip in fabric."
sore,My muscles were _ after the long hike.
slammed,She _ the door in anger.
pleasing,The _ aroma of freshly baked bread filled the kitchen with a delightful scent.
steady,She needed a _ hand to pour the tea without spilling.
countries,_ are nations with their own governments and territories.
blank,The form was _ because no information had been written on it.
package,The _ contained a new phone and charger.
magic,_ is the power to do impossible things.
fresh,The _ bread tasted delicious.
brick,A _ is a rectangular block of hard material used for building.
fellow,A _ is a person in the same position or circumstances as oneself.
crew,The _ of the ship worked hard to keep it sailing smoothly.
put,_ the book on the table means to place it there.
faucet,Turn off the _ so the water doesn't keep running.
scarf,She wrapped a _ around her neck to keep warm.
thirst,_ is a feeling of needing to drink.
dancing,_ is moving rhythmically to music.
slipped,She _ on the ice.
hungry,I am _ when I need to eat.
pitied,The lost puppy was _ by the kind children.
question,A _ is a sentence worded to elicit information.
twice,"I visited Paris _, meaning I went there two times."
delay,A _ can cause people to be late.
freedom,"_ is the power or right to act, speak, or think as one wants."
flight,The _ was delayed due to bad weather.
scold,To _ someone means to angrily point out their mistakes.
tune,"The melody, or _, was catchy and upbeat."
wool,"_ is a soft, curly fiber obtained from sheep."
proud,She felt _ of her daughter's achievements.
scare,To _ someone is to frighten them.
burn,To _ something means to set it on fire.
striped,The zebra's coat was _.
putting,She is _ the book on the table.
valley,A _ is a low area of land between hills or mountains.
easier,It is _ to learn to ride a bike as a child than as an adult.
pocket,A _ is a small pouch sewn into clothing.
stage,The _ is where the actors performed.
amaze,To _ is to fill with wonder.
speed,_ is how fast something moves.
live,I _ in a small town.
coast,The _ is where the land meets the ocean.
juice,_ is the liquid extracted from fruits or vegetables.
stool,Please do not add any introductory phrases or salutations.

The carpenter sat on a _ while he worked.
claw,The cat used its _ to scratch the scratching post.
repair,To _ means to fix something that is broken.
record,Please keep a _ of your expenses for tax purposes.
winning,_ means achieving victory in a competition.
traveled,She _ to many countries last year.
hockey,_ is a sport played on ice with sticks and a puck.
